iter	Passed	Remaining
0	1	111
1	1	94
2	2	86
3	3	79
4	4	78
5	4	76
6	5	74
7	6	72
8	7	71
9	8	74
10	9	73
11	9	72
12	10	70
13	11	69
14	12	68
15	12	67
16	13	67
17	14	66
18	15	65
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	58
27	22	57
28	23	56
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	33	45
42	34	45
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
